Provider Number,Facility Name,Profit or Non-Profit,Chain Organization,# of Dialysis Stations,Patient Transfusion category text,Number of patients included in the transfusion summary,Number of patients in hypercalcemia summary,Number of patient-months in hypercalcemia summary,Number of patients in Serum phosphorus summary,Number of patient-months in Serum phosphorus summary ,Patient hospitalization category text,Patient Hospital Readmission Category,Patient Survival Category Text,Number of patients included in hospitalization summary,Number of hospitalizations included in hospital readmission summary,Number of Patients included in survival summary,Patient Infection category text,Fistula Category Text,Number of Patients included in fistula summary,Number of patients in long term catheter summary,Number of patient months in long term catheter summary,Number of patients in nPCR summary,Number of patient-months in nPCR summary,SWR category text,PPPW category text
333563,BASSETT HEALTHCARE LITTLE FALLS DIALYSIS,Non-Profit,INDEPENDENT,12,As Expected,29,44,377,46,387,As Expected,As Expected,As Expected,38,57,147,Not Available,As Expected,40,40,324,0,,Not Available,As Expected
333564,ADIRONDACK MEDICAL CENTER - DIALYSIS,Non-Profit,INDEPENDENT,4,Not Available,9,14,99,14,102,As Expected,Not Available,As Expected,13,10,49,Not Available,As Expected,13,13,101,0,,Not Available,Not Available
333565,KINGSBROOK JEWISH MEDICAL CENTER - RNH DIALYSIS,Non-Profit,INDEPENDENT,4,Not Available,15,25,157,27,169,As Expected,As Expected,Worse than Expected,20,17,121,Worse than Expected,As Expected,24,24,138,0,,Not Available,Not Available
333566,UNITY DIALYSIS AT CHILI,Non-Profit,INDEPENDENT,16,As Expected,26,31,285,31,292,As Expected,As Expected,As Expected,28,34,109,Not Available,As Expected,31,31,292,0,,Not Available,As Expected
342713,FRESENIUS MEDICAL CARE SOUTHWEST CHARLOTTE,Profit,FRESENIUS MEDICAL CARE,13,As Expected,53,83,686,86,728,As Expected,As Expected,As Expected,64,43,151,As Expected,As Expected,79,79,638,0,,Not Available,As Expected
342714,NORTH RANDOLPH DIALYSIS CENTER OF WAKE FOREST UNIVERSITY,Non-Profit,WAKE FOREST UNIVERSITY,10,As Expected,31,47,368,50,390,As Expected,As Expected,As Expected,35,47,89,As Expected,As Expected,33,33,228,0,,Not Available,As Expected
342715,"BIO-MEDICAL APPLICATIONS OF NORTH CAROLINA, INC.",Profit,FRESENIUS MEDICAL CARE,15,As Expected,49,66,527,69,562,As Expected,As Expected,As Expected,56,47,118,As Expected,As Expected,63,63,524,0,,Not Available,As Expected
332755,"DIALYZE DIRECT NY, LLC",Profit,INDEPENDENT,1,Worse than Expected,49,82,292,113,375,Worse than Expected,As Expected,Worse than Expected,76,120,103,Not Available,As Expected,110,110,362,0,,Not Available,Not Available
332756,FRESENIUS KIDNEY CARE - HORNELL,Non-Profit,FRESENIUS MEDICAL CARE,9,As Expected,47,78,666,85,644,As Expected,As Expected,As Expected,58,47,187,As Expected,As Expected,83,83,643,0,,Not Available,As Expected
332757,DAVITA HERTEL AVENUE DIALYSIS,Profit,DAVITA,17,Not Available,18,27,170,33,182,As Expected,As Expected,As Expected,19,15,49,As Expected,As Expected,32,32,182,0,,Not Available,As Expected
342633,KING DIALYSIS CENTER OF WAKE FOREST UNIVERSITY,Non-Profit,WAKE FOREST UNIVERSITY,17,As Expected,56,84,651,89,704,As Expected,As Expected,Worse than Expected,66,83,257,As Expected,As Expected,83,83,603,0,,As Expected,As Expected
342634,FMC OF EAST GREENSBORO,Profit,FRESENIUS MEDICAL CARE,39,Worse than Expected,113,163,1366,179,1460,As Expected,As Expected,As Expected,127,147,470,As Expected,As Expected,179,179,1460,0,,As Expected,As Expected
342635,FRESENIUS MEDICAL SERVICES OF CATAWBA VALLEY,Profit,FRESENIUS MEDICAL CARE,25,As Expected,79,111,1047,114,1091,As Expected,As Expected,As Expected,89,56,347,As Expected,Better than Expected,114,114,1098,0,,As Expected,As Expected
342636,WEST IREDELL DIALYSIS CENTER,Non-Profit,WAKE FOREST UNIVERSITY,20,As Expected,58,79,672,85,704,As Expected,As Expected,As Expected,68,96,248,As Expected,As Expected,84,84,699,0,,Not Available,As Expected
342637,DAVITA FOREST HILLS DIALYSIS,Profit,DAVITA,31,As Expected,110,132,1267,147,1323,As Expected,As Expected,As Expected,113,119,468,As Expected,As Expected,147,147,1307,0,,As Expected,As Expected
242546,FMC MORA DIALYSIS CENTER,Profit,FRESENIUS MEDICAL CARE,11,As Expected,28,40,362,43,382,As Expected,As Expected,As Expected,30,38,127,As Expected,As Expected,43,43,384,0,,Not Available,As Expected
252506,RCG BROOKHAVEN,Profit,FRESENIUS MEDICAL CARE,32,As Expected,148,193,1665,207,1728,As Expected,As Expected,Worse than Expected,173,171,718,As Expected,As Expected,178,178,1462,0,,Worse than Expected,As Expected
252507,RCG CLARKSDALE,Profit,FRESENIUS MEDICAL CARE,40,As Expected,138,176,1762,183,1809,As Expected,As Expected,As Expected,151,122,613,As Expected,Better than Expected,176,176,1704,0,,Worse than Expected,As Expected
252508,RCG COLUMBUS (GOLDEN TRIANGLE),Profit,FRESENIUS MEDICAL CARE,35,As Expected,103,140,1353,147,1393,Better than Expected,As Expected,As Expected,116,56,510,As Expected,As Expected,146,146,1394,0,,Worse than Expected,As Expected
252509,RCG VICKSBURG,Profit,FRESENIUS MEDICAL CARE,21,As Expected,68,89,826,93,872,As Expected,As Expected,As Expected,75,78,314,As Expected,As Expected,93,93,877,0,,As Expected,As Expected
252510,LAUREL DIALYSIS,Profit,INDEPENDENT,34,Worse than Expected,115,153,1410,160,1468,As Expected,As Expected,As Expected,133,134,588,Better than Expected,As Expected,162,162,1482,0,,As Expected,As Expected
342588,BMA OF CRYSTAL COAST INC,Profit,FRESENIUS MEDICAL CARE,16,As Expected,56,71,635,78,674,As Expected,As Expected,As Expected,66,46,241,As Expected,Better than Expected,78,78,675,0,,As Expected,As Expected
342589,BMA OF ZEBULON INC,Profit,FRESENIUS MEDICAL CARE,30,As Expected,68,104,970,108,990,As Expected,As Expected,As Expected,84,85,362,As Expected,As Expected,108,108,979,1,8,As Expected,As Expected
342590,WEST PETTIGREW DIALYSIS CENTER,Profit,FRESENIUS MEDICAL CARE,24,As Expected,94,120,1139,121,1155,As Expected,As Expected,Better than Expected,103,139,383,Better than Expected,As Expected,94,94,861,0,,As Expected,Better than Expected
342591,DSI GLENWATER DIALYSIS,Profit,"US RENAL CARE, INC.",42,As Expected,120,153,1385,155,1391,As Expected,As Expected,Better than Expected,128,136,533,As Expected,Worse than Expected,153,153,1383,0,,Worse than Expected,As Expected
342592,DAVITA DIALYSIS CARE OF KANNAPOLIS,Profit,DAVITA,30,As Expected,107,147,1387,153,1458,As Expected,As Expected,As Expected,122,126,485,As Expected,As Expected,127,127,1158,0,,As Expected,As Expected
342691,CAROLINA DIALYSIS OF MEBANE,Profit,FRESENIUS MEDICAL CARE,20,As Expected,56,87,810,91,833,As Expected,As Expected,As Expected,66,59,253,As Expected,As Expected,80,80,743,0,,As Expected,As Expected
332758,DSI NEWBURGH LLC.,Profit,"US RENAL CARE, INC.",16,As Expected,56,81,710,91,764,As Expected,As Expected,As Expected,65,83,144,As Expected,As Expected,83,83,692,0,,Not Available,As Expected
332759,DAVITA SEAWAY DIALYSIS,Profit,DAVITA,25,As Expected,19,23,216,23,197,As Expected,As Expected,As Expected,22,22,54,As Expected,As Expected,24,24,219,0,,Not Available,As Expected
332760,WOODMERE DIALYSIS LLC,Profit,INDEPENDENT,9,Not Available,17,24,149,33,167,As Expected,As Expected,As Expected,25,47,55,As Expected,As Expected,31,31,159,0,,Not Available,Not Available
342513,FRESENIUS MEDICAL CARE GASTONIA,Profit,FRESENIUS MEDICAL CARE,39,As Expected,166,227,2111,245,2171,As Expected,As Expected,As Expected,183,172,794,As Expected,As Expected,231,231,2056,0,,As Expected,As Expected
342514,HIGH POINT KIDNEY CENTER OF WAKE FOREST UNIVERSITY,Non-Profit,WAKE FOREST UNIVERSITY,41,Worse than Expected,182,250,2262,260,2361,Worse than Expected,As Expected,As Expected,206,294,793,Worse than Expected,As Expected,188,188,1725,0,,As Expected,As Expected
342638,DAVITA SOUTHERN PINES DIALYSIS CENTER,Profit,DAVITA,15,As Expected,36,62,544,64,574,As Expected,As Expected,As Expected,46,56,193,As Expected,As Expected,63,63,574,0,,As Expected,As Expected
342734,DAVITA DURHAM REGIONAL DIALYSIS,Profit,DAVITA,10,Not Available,15,24,168,27,188,As Expected,As Expected,Not Available,20,17,25,As Expected,As Expected,28,28,188,0,,Not Available,As Expected
342735,FRESENIUS MEDICAL CARE WHITE OAK,Profit,FRESENIUS MEDICAL CARE,12,As Expected,29,53,434,56,453,As Expected,As Expected,As Expected,38,27,47,As Expected,As Expected,57,57,473,0,,Not Available,As Expected
342736,DAVITA SUGAR CREEK,Profit,DAVITA,10,As Expected,21,27,228,29,246,As Expected,As Expected,As Expected,25,16,39,As Expected,As Expected,29,29,246,1,11,Not Available,As Expected
342737,FRESENIUS KIDNEY CARE INDIAN TRAIL,Profit,FRESENIUS MEDICAL CARE,10,Not Available,18,36,265,42,300,As Expected,As Expected,Not Available,20,17,30,As Expected,As Expected,41,41,293,0,,Not Available,As Expected
252511,RCG OXFORD  (YOKNA RIVER),Profit,FRESENIUS MEDICAL CARE,28,As Expected,118,145,1329,149,1375,As Expected,As Expected,As Expected,140,147,529,Better than Expected,Better than Expected,149,149,1374,0,,As Expected,As Expected
333527,LONG ISLAND COMMUNITY HOSPITAL,Non-Profit,INDEPENDENT,24,Worse than Expected,153,220,2065,225,2089,As Expected,As Expected,Better than Expected,180,200,761,As Expected,Better than Expected,222,222,2070,0,,Not Available,As Expected
333529,FAXTON ST. LUKE'S HEALTHCARE - ROME,Non-Profit,INDEPENDENT,16,Worse than Expected,56,73,674,80,706,As Expected,Worse than Expected,As Expected,67,79,276,As Expected,As Expected,80,80,703,0,,Not Available,As Expected
333531,BASSETT HEALTHCARE,Non-Profit,INDEPENDENT,14,As Expected,81,102,884,101,856,As Expected,As Expected,As Expected,93,90,354,As Expected,As Expected,90,90,760,0,,Not Available,As Expected
333533,STONY BROOK SOUTHAMPTON HOSPITAL REGIONAL DIALYSIS CENTER,Non-Profit,INDEPENDENT,17,As Expected,43,75,622,75,649,As Expected,As Expected,As Expected,64,78,251,As Expected,As Expected,75,75,644,0,,As Expected,As Expected
342692,DAVITA MINT HILL DIALYSIS,Profit,DAVITA,22,As Expected,41,66,545,66,572,As Expected,As Expected,As Expected,48,51,202,Better than Expected,As Expected,65,65,558,0,,Not Available,As Expected
342693,DAVITA BREVARD DIALYSIS,Profit,DAVITA,9,Worse than Expected,33,44,350,49,361,As Expected,As Expected,As Expected,42,62,165,As Expected,As Expected,44,44,323,0,,Not Available,As Expected
342694,"BIO-MEDICAL APPLICATIONS OF NORTH CAROLINA, INC.",Profit,FRESENIUS MEDICAL CARE,10,As Expected,34,38,349,38,360,As Expected,As Expected,Better than Expected,36,25,129,As Expected,As Expected,39,39,361,0,,Not Available,As Expected
342695,DAVITA BILTMORE HOME TRAINING,Profit,DAVITA,10,As Expected,91,133,1038,145,1152,As Expected,As Expected,As Expected,104,72,376,Not Available,Not Available,0,0,,0,,As Expected,Better than Expected
342696,DAVITA FRANKLIN TOWNSHIP DIALYSIS,Profit,DAVITA,9,As Expected,40,48,436,48,446,Better than Expected,As Expected,As Expected,44,22,174,As Expected,As Expected,39,39,347,0,,Not Available,As Expected
342515,DAVITA ELIZABETH CITY DIALYSIS,Profit,DAVITA,28,As Expected,75,110,915,117,957,As Expected,As Expected,As Expected,83,89,460,As Expected,As Expected,106,106,926,0,,As Expected,As Expected
342516,FMC DIALYSIS SERVICES OF HICKORY,Profit,FRESENIUS MEDICAL CARE,35,As Expected,99,138,1267,149,1318,As Expected,As Expected,As Expected,113,72,506,As Expected,Better than Expected,148,148,1321,0,,As Expected,As Expected
342517,BMA OF ROCKY MOUNT INC,Profit,FRESENIUS MEDICAL CARE,40,As Expected,109,151,1434,161,1501,As Expected,As Expected,As Expected,126,122,595,As Expected,As Expected,161,161,1492,2,13,As Expected,As Expected
342612,NORTHSIDE DIALYSIS CENTER OF WAKE FOREST UNIVERISITY,Non-Profit,WAKE FOREST UNIVERSITY,45,As Expected,137,200,1853,213,1937,As Expected,As Expected,As Expected,153,183,596,Worse than Expected,As Expected,186,186,1631,0,,As Expected,As Expected
342613,BMA NORTHWEST GREENSBORO KIDNEY CENTER,Profit,FRESENIUS MEDICAL CARE,33,As Expected,85,132,1185,135,1222,As Expected,Better than Expected,As Expected,102,92,386,As Expected,As Expected,135,135,1210,0,,As Expected,As Expected
342738,FRESENIUS MEDICAL CARE ALDERSGATE,Profit,FRESENIUS MEDICAL CARE,10,Not Available,16,30,207,34,229,As Expected,As Expected,Not Available,19,20,21,As Expected,As Expected,34,34,238,0,,Not Available,As Expected
342739,DAVITA MEBANE DIALYSIS,Profit,DAVITA,10,Not Available,15,25,181,29,208,As Expected,As Expected,Not Available,19,34,25,As Expected,As Expected,27,27,205,0,,Not Available,As Expected
332782,DCI GLENS FALLS,Non-Profit,"DIALYSIS CLINIC, INC.",27,As Expected,152,225,2138,235,2216,As Expected,As Expected,Better than Expected,191,231,352,Better than Expected,As Expected,205,205,1874,0,,Not Available,As Expected
332783,BROOKLYN UNITED METHODIST CONTINUUM SERVICES,Profit,INDEPENDENT,12,Not Available,7,17,86,17,86,Not Available,As Expected,Not Available,10,18,10,Not Available,As Expected,17,17,92,0,,Not Available,Not Available
332784,DAVITA MOUNT HOPE DIALYSIS CENTER,Profit,DAVITA,16,Not Available,11,18,109,22,120,Not Available,Not Available,Not Available,13,4,13,Not Available,As Expected,22,22,125,0,,Not Available,As Expected
332785,DAVITA HUTCHINSON RIVER DIALYSIS,Profit,DAVITA,19,Not Available,7,9,36,10,38,Not Available,Not Available,Not Available,8,6,8,Not Available,Not Available,10,10,42,0,,Not Available,Not Available
333535,SOUTH NASSAU OUTPATIENT DIALYSIS CENTER,Non-Profit,INDEPENDENT,18,Worse than Expected,125,158,1406,169,1464,As Expected,As Expected,Better than Expected,147,162,559,As Expected,Better than Expected,170,170,1472,0,,Better than Expected,As Expected
333536,DR RAVINDER N AGARWAL,Non-Profit,INDEPENDENT,24,As Expected,63,86,782,85,777,As Expected,As Expected,As Expected,73,72,331,Not Available,As Expected,78,78,696,0,,As Expected,As Expected
342567,DAVITA BURLINGTON DIALYSIS,Profit,DAVITA,16,As Expected,50,74,696,82,716,As Expected,As Expected,As Expected,58,54,346,Better than Expected,As Expected,82,82,720,0,,As Expected,As Expected
342568,FMC LINCOLNTON DIALYSIS,Profit,FRESENIUS MEDICAL CARE,30,As Expected,73,96,954,101,979,As Expected,As Expected,As Expected,81,104,351,Better than Expected,Better than Expected,101,101,984,0,,As Expected,As Expected
342569,SALEM KIDNEY CENTER OF WAKE FOREST UNIVERSITY,Non-Profit,WAKE FOREST UNIVERSITY,39,As Expected,126,176,1554,187,1652,As Expected,As Expected,As Expected,145,169,542,As Expected,As Expected,188,188,1646,0,,As Expected,As Expected
362503,FMC -  AKRON,Profit,FRESENIUS MEDICAL CARE,30,As Expected,53,79,677,82,706,As Expected,As Expected,As Expected,64,53,289,As Expected,As Expected,82,82,705,0,,As Expected,As Expected
362516,DCI - EAST LIVERPOOL,Non-Profit,"DIALYSIS CLINIC, INC.",22,As Expected,54,82,708,88,760,As Expected,As Expected,Better than Expected,71,98,266,As Expected,As Expected,85,85,737,0,,As Expected,As Expected
362518,DAVITA ZANESVILLE DIALYSIS,Profit,DAVITA,22,As Expected,35,53,504,57,518,As Expected,As Expected,As Expected,43,34,186,As Expected,As Expected,50,50,455,0,,Not Available,As Expected
362519,DAVITA BLUE ASH DIALYSIS,Profit,DAVITA,18,As Expected,39,59,537,61,553,As Expected,As Expected,As Expected,47,46,226,As Expected,As Expected,62,62,561,0,,Not Available,As Expected
362520,FMC - CENTRAL OHIO EAST,Profit,FRESENIUS MEDICAL CARE,20,As Expected,70,113,1004,117,1041,As Expected,As Expected,As Expected,88,119,358,As Expected,As Expected,118,118,1053,0,,As Expected,As Expected
362521,FMC - AKRON CANTON KIDNEY CENTER,Profit,FRESENIUS MEDICAL CARE,25,As Expected,51,74,675,75,675,As Expected,Better than Expected,As Expected,61,82,297,Better than Expected,As Expected,76,76,694,0,,As Expected,As Expected
342614,ELKIN DIALYSIS CENTER OF WAKE FOREST UNIVERSITY,Non-Profit,WAKE FOREST UNIVERSITY,19,As Expected,40,56,502,67,547,As Expected,As Expected,As Expected,55,54,231,Better than Expected,As Expected,65,65,537,0,,As Expected,As Expected
342615,FMC DIALYSIS SERVICES OF BRIGGS AVENUE,Profit,FRESENIUS MEDICAL CARE,29,Better than Expected,91,119,1080,121,1071,As Expected,As Expected,As Expected,100,90,375,As Expected,As Expected,121,121,1101,0,,As Expected,As Expected
342616,DAVITA DURHAM WEST DIALYSIS,Profit,DAVITA,25,As Expected,108,156,1392,159,1425,As Expected,As Expected,As Expected,126,134,512,As Expected,As Expected,128,128,1119,0,,Better than Expected,As Expected
342617,CAROLINA DIALYSIS PITTSBORO,Non-Profit,FRESENIUS MEDICAL CARE,10,As Expected,27,46,425,47,447,As Expected,As Expected,As Expected,35,30,124,Better than Expected,As Expected,46,46,430,0,,Not Available,As Expected
342716,"DAVITA TOTAL RENAL CARE OF NORTH CAROLINA, LLC",Profit,DAVITA,11,As Expected,28,39,359,43,378,As Expected,As Expected,As Expected,34,33,104,As Expected,As Expected,44,44,381,0,,Not Available,As Expected
232642,MACOMB REGIONAL DIALYSIS CENTER,Profit,GREENFIELD HEALTH SYSTEMS,20,As Expected,96,138,1214,148,1277,As Expected,As Expected,As Expected,114,130,458,As Expected,As Expected,124,124,1066,0,,As Expected,As Expected
232739,DAVITA TROY DIALYSIS,Profit,DAVITA,13,Not Available,8,14,57,17,68,Not Available,Not Available,Not Available,10,9,10,Not Available,As Expected,17,17,70,0,,Not Available,As Expected
232740,"MICHIGAN DIALYSIS SERVICES, LLC",Non-Profit,UNIVERSITY OF MICHIGAN,17,Not Available,9,19,34,18,34,Not Available,Not Available,Not Available,11,9,11,Not Available,As Expected,14,14,27,0,,Not Available,As Expected
242305,WINONA HEALTH SERVICES,Non-Profit,INDEPENDENT,8,As Expected,25,35,349,37,360,As Expected,As Expected,As Expected,31,27,136,As Expected,As Expected,37,37,357,0,,Not Available,As Expected
242306,"U OF MN MED CTR, FAIRVIEW - DIALYSIS",Non-Profit,INDEPENDENT,11,Not Available,1,3,12,3,15,Not Available,Not Available,Not Available,5,2,25,Not Available,Not Available,3,3,15,11,48,Better than Expected,As Expected
242309,MAYO CLINIC HOSPITAL ROCHESTER,Non-Profit,MAYO CLINIC DIALYSIS,39,As Expected,107,151,1181,165,1230,As Expected,As Expected,As Expected,127,169,487,Not Available,As Expected,111,111,829,0,,Better than Expected,Better than Expected
262339,FREEMAN NEPHROLOGY & DIALYSIS CENTER,Non-Profit,INDEPENDENT,17,As Expected,70,100,866,108,920,As Expected,As Expected,As Expected,82,90,397,Worse than Expected,As Expected,83,83,672,0,,As Expected,As Expected
232663,DAVITA BURTON DIALYSIS,Profit,DAVITA,12,As Expected,85,118,1044,124,1092,As Expected,As Expected,As Expected,97,104,427,As Expected,As Expected,84,84,694,0,,As Expected,As Expected
232664,LIBERTY DIALYSIS AT LAKELAND - ROYALTON,Profit,FRESENIUS MEDICAL CARE,1,As Expected,28,39,232,42,259,As Expected,As Expected,As Expected,31,32,153,Not Available,Not Available,5,5,17,0,,Not Available,As Expected
232665,DAVITA RIVERWOOD DIALYSIS,Profit,DAVITA,16,As Expected,46,69,599,72,618,As Expected,As Expected,As Expected,54,73,236,As Expected,As Expected,72,72,631,0,,Not Available,As Expected
232666,"FMS BEAUMONT HEALTH, LLC",Profit,FRESENIUS MEDICAL CARE,24,As Expected,81,117,960,121,937,As Expected,As Expected,Better than Expected,106,168,474,Better than Expected,As Expected,123,123,982,0,,Better than Expected,As Expected
232667,FMC - GARDEN CITY,Profit,FRESENIUS MEDICAL CARE,16,As Expected,55,92,800,96,808,As Expected,As Expected,As Expected,70,118,312,As Expected,As Expected,95,95,822,0,,As Expected,As Expected
252527,RCG GRENADA,Profit,FRESENIUS MEDICAL CARE,27,As Expected,89,111,1097,123,1153,Better than Expected,As Expected,As Expected,102,61,401,As Expected,As Expected,123,123,1163,0,,Worse than Expected,As Expected
252528,RCG CLEVELAND,Profit,FRESENIUS MEDICAL CARE,29,As Expected,107,142,1303,152,1360,As Expected,As Expected,As Expected,129,145,511,Better than Expected,As Expected,154,154,1387,0,,As Expected,As Expected
252529,FMC MAGEE,Profit,FRESENIUS MEDICAL CARE,24,As Expected,83,119,1111,126,1159,As Expected,Better than Expected,Better than Expected,97,79,342,As Expected,As Expected,127,127,1171,0,,As Expected,As Expected
252530,RCG ABERDEEN  (BLUE BLUFF),Profit,FRESENIUS MEDICAL CARE,32,Worse than Expected,114,128,1268,136,1290,As Expected,As Expected,Better than Expected,125,97,524,As Expected,Better than Expected,137,137,1301,0,,Worse than Expected,As Expected
252531,RCG PORT GIBSON,Profit,FRESENIUS MEDICAL CARE,10,As Expected,24,36,342,40,350,As Expected,As Expected,As Expected,28,32,119,As Expected,As Expected,40,40,355,0,,Not Available,As Expected
232718,DAVITA EAST CHINA DIALYSIS,Profit,DAVITA,13,As Expected,37,46,344,48,369,As Expected,As Expected,As Expected,40,65,90,As Expected,As Expected,42,42,316,0,,Not Available,As Expected
232719,DAVITA FASHION SQUARE DIALYSIS,Profit,DAVITA,13,As Expected,34,54,396,58,416,As Expected,As Expected,As Expected,47,65,97,As Expected,As Expected,60,60,410,0,,As Expected,As Expected
242579,FMC - MAPLE GROVE DIALYSIS,Profit,FRESENIUS MEDICAL CARE,12,As Expected,59,91,776,95,785,As Expected,As Expected,As Expected,67,75,250,As Expected,As Expected,71,71,575,0,,Not Available,Better than Expected
242580,FRESENIUS - ST LOUIS PARK DIALYSIS,Profit,FRESENIUS MEDICAL CARE,12,As Expected,39,60,564,64,562,As Expected,As Expected,As Expected,44,70,194,As Expected,As Expected,35,35,285,0,,As Expected,Better than Expected
242581,FMC - ROBBINSDALE DIALYSIS,Profit,FRESENIUS MEDICAL CARE,24,As Expected,74,118,979,118,1015,As Expected,As Expected,As Expected,87,148,327,As Expected,As Expected,118,118,1008,0,,Worse than Expected,As Expected
242582,DAVITA ROBBINSDALE DIALYSIS,Profit,DAVITA,16,As Expected,59,88,759,93,754,As Expected,As Expected,As Expected,66,70,284,As Expected,As Expected,90,90,763,0,,As Expected,As Expected
242310,CARRIS HEALTH - RICE MEMORIAL HOSPITAL,Non-Profit,INDEPENDENT,13,As Expected,50,67,632,72,664,As Expected,As Expected,As Expected,59,42,236,As Expected,As Expected,50,50,414,0,,Not Available,As Expected
242605,DAVITA LAKEVILLE DIALYSIS,Profit,DAVITA,8,Not Available,8,14,94,15,104,As Expected,Not Available,As Expected,11,10,25,As Expected,As Expected,15,15,104,0,,Not Available,As Expected
242606,DAVITA NEW ULM DIALYSIS,Profit,DAVITA,12,Not Available,14,23,201,25,196,As Expected,As Expected,As Expected,17,33,62,As Expected,As Expected,26,26,197,0,,Not Available,As Expected
242697,DAVITA MANKATO UPTOWN DIALYSIS,Profit,DAVITA,16,As Expected,39,56,459,59,471,As Expected,As Expected,As Expected,49,44,146,As Expected,As Expected,49,49,379,0,,Not Available,As Expected
242698,"BIO-MEDICAL APPLICATIONS OF MINNESOTA, INC.",Profit,FRESENIUS MEDICAL CARE,12,Not Available,13,27,239,31,257,As Expected,As Expected,As Expected,19,29,30,As Expected,As Expected,31,31,255,0,,Not Available,As Expected
232668,LIBERTY DIALYSIS AT LAKELAND - NILES,Profit,FRESENIUS MEDICAL CARE,24,As Expected,69,100,804,106,863,As Expected,As Expected,As Expected,79,127,292,As Expected,As Expected,106,106,860,0,,Not Available,As Expected
242521,FMC DIALYSIS - HUTCHINSON,Profit,FRESENIUS MEDICAL CARE,12,As Expected,25,34,287,37,301,As Expected,As Expected,As Expected,29,28,116,As Expected,As Expected,37,37,301,0,,Not Available,As Expected
242522,DAVITA REDWOOD FALLS DIALYSIS,Profit,DAVITA,8,Not Available,13,16,128,17,133,As Expected,Not Available,As Expected,16,6,67,As Expected,As Expected,17,17,131,0,,Not Available,Not Available
242523,FMC DIALYSIS - ROSEVILLE,Profit,FRESENIUS MEDICAL CARE,13,As Expected,54,96,902,96,922,As Expected,As Expected,As Expected,60,87,257,Better than Expected,As Expected,68,68,669,0,,As Expected,Better than Expected
242526,DAVITA MINNETONKA DIALYSIS UNIT,Profit,DAVITA,10,Not Available,19,30,206,31,219,As Expected,Not Available,Worse than Expected,24,8,101,As Expected,As Expected,31,31,219,0,,Not Available,As Expected
262534,DAVITA HOPE AGAIN DIALYSIS CENTER,Profit,DAVITA,16,As Expected,40,78,506,76,497,As Expected,As Expected,As Expected,44,63,213,Better than Expected,As Expected,81,81,528,0,,Not Available,Worse than Expected
262535,QUALITY CARE DIALYSIS CENTERS - NORTH COUNTY,Profit,FRESENIUS MEDICAL CARE,25,As Expected,74,109,963,112,954,As Expected,As Expected,As Expected,89,167,380,Better than Expected,As Expected,112,112,961,0,,As Expected,As Expected
262536,DAVITA ROLLA DIALYSIS,Profit,DAVITA,16,As Expected,67,94,777,99,825,As Expected,As Expected,As Expected,81,102,348,Better than Expected,As Expected,97,97,824,0,,As Expected,As Expected
262537,"DIALYSIS CLINICS, INC - BAPTIST",Non-Profit,"DIALYSIS CLINIC, INC.",24,As Expected,75,102,956,107,950,As Expected,As Expected,Better than Expected,85,81,392,As Expected,As Expected,106,106,980,0,,As Expected,As Expected
262538,PENN VALLEY DIALYSIS CENTER,Profit,FRESENIUS MEDICAL CARE,20,As Expected,38,62,578,64,575,As Expected,As Expected,As Expected,44,59,194,Better than Expected,As Expected,64,64,576,0,,As Expected,As Expected
242583,FMC - BLAINE DIALYSIS,Profit,FRESENIUS MEDICAL CARE,13,As Expected,44,53,522,53,531,As Expected,As Expected,As Expected,46,73,179,As Expected,As Expected,54,54,543,0,,Not Available,As Expected
242584,DAVITA MOORHEAD DIALYSIS,Profit,DAVITA,12,As Expected,48,62,567,65,572,As Expected,As Expected,As Expected,55,56,213,As Expected,As Expected,58,58,493,0,,Not Available,As Expected
252550,"BIO-MEDICAL APPLICATIONS OF MISSISSIPPI, INC",Profit,FRESENIUS MEDICAL CARE,9,Worse than Expected,33,34,279,37,296,As Expected,As Expected,As Expected,33,22,148,Not Available,Not Available,0,0,,0,,As Expected,As Expected
252552,RCG SOUTHAVEN,Profit,FRESENIUS MEDICAL CARE,40,As Expected,209,269,2350,279,2402,As Expected,As Expected,As Expected,246,311,951,Better than Expected,As Expected,275,275,2392,0,,As Expected,As Expected
252553,FMC HAZLEHURST,Profit,FRESENIUS MEDICAL CARE,13,As Expected,41,57,534,58,546,As Expected,As Expected,As Expected,46,39,172,As Expected,As Expected,58,58,548,0,,Not Available,As Expected
242700,"BIO-MEDICAL APPLICATIONS OF MINNESOTA, INC.",Profit,FRESENIUS MEDICAL CARE,13,As Expected,34,55,427,61,463,As Expected,As Expected,As Expected,39,52,57,As Expected,As Expected,43,43,351,0,,Not Available,As Expected
242701,DAVITA PHALEN DIALYSIS,Profit,DAVITA,12,Not Available,7,9,38,11,41,Not Available,As Expected,Not Available,8,13,8,Not Available,As Expected,11,11,45,0,,Not Available,As Expected
252575,DRG HOME THERAPIES,Profit,INDEPENDENT,1,Not Available,15,22,162,22,169,As Expected,As Expected,As Expected,16,14,74,Not Available,Not Available,0,0,,0,,As Expected,As Expected
252576,FRESENIUS MEDICAL CARE SOUTHWEST JACKSON HOME,Profit,FRESENIUS MEDICAL CARE,2,As Expected,66,96,725,106,797,As Expected,As Expected,Worse than Expected,76,53,263,Not Available,As Expected,38,38,260,0,,As Expected,As Expected
